"board_name","list_name","card_name","osic_epic","days_since","checklist_count","checklist_item_count","checked_item_count","label_count","assignment_count","label_detail","assignnment_detail","url"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNOPT - reduce memoization issues in cinder api","opportunistic",37,0,0,0,3,1,"Starter","<No detail>","https://trello.com/c/ozRzFKKO/70-hznopt-reduce-memoization-issues-in-cinder-api"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNOPT - reduce memoization issues in cinder api","opportunistic",37,0,0,0,3,1,"High Priority","<No detail>","https://trello.com/c/ozRzFKKO/70-hznopt-reduce-memoization-issues-in-cinder-api"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNOPT - reduce memoization issues: fix memoization on list extensions methods for neutron api","opportunistic",31,0,0,0,3,1,"Horizon","<No detail>","https://trello.com/c/2ZpWZObf/71-hznopt-reduce-memoization-issues-fix-memoization-on-list-extensions-methods-for-neutron-api"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNOPT - reduce memoization issues: fix memoization on list extensions methods for neutron api","opportunistic",31,0,0,0,3,1,"High Priority","<No detail>","https://trello.com/c/2ZpWZObf/71-hznopt-reduce-memoization-issues-fix-memoization-on-list-extensions-methods-for-neutron-api"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNOPT - reduce memoization issues: fix memoization on list extensions methods for neutron api","opportunistic",31,0,0,0,3,1,"Starter","<No detail>","https://trello.com/c/2ZpWZObf/71-hznopt-reduce-memoization-issues-fix-memoization-on-list-extensions-methods-for-neutron-api"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNADM - Implement admin filter first in Admin-System-Instances/Images panel","opportunistic",9,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/IrYo7MPQ/79-hznadm-implement-admin-filter-first-in-admin-system-instances-images-panel"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNADM - Implement admin filter first in Admin-System-Instances/Images panel","opportunistic",9,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/IrYo7MPQ/79-hznadm-implement-admin-filter-first-in-admin-system-instances-images-panel"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Group Management","opportunistic",0,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/mbMcBfIv/86-hznflt-consistent-api-side-identity-group-management"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Group Management","opportunistic",0,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/mbMcBfIv/86-hznflt-consistent-api-side-identity-group-management"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Projects","opportunistic",0,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/Kv2utrhV/83-hznflt-consistent-api-side-identity-projects"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Projects","opportunistic",0,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/Kv2utrhV/83-hznflt-consistent-api-side-identity-projects"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Roles","opportunistic",0,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/MpjZPeU1/87-hznflt-consistent-api-side-identity-roles"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Roles","opportunistic",0,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/MpjZPeU1/87-hznflt-consistent-api-side-identity-roles"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Groups","opportunistic",0,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/FiAhYqyO/85-hznflt-consistent-api-side-identity-groups"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","HZNFLT - Consistent API Side - Identity -> Groups","opportunistic",0,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/FiAhYqyO/85-hznflt-consistent-api-side-identity-groups"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Oslo.config supports Required and Sample options","CFGDFT",35,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/FZEL8jOG/73-cfgdft-ceilometer-oslo-config-supports-required-and-sample-options"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Oslo.config supports Required and Sample options","CFGDFT",35,0,0,0,2,0,"Ceilometer","<No detail>","https://trello.com/c/FZEL8jOG/73-cfgdft-ceilometer-oslo-config-supports-required-and-sample-options"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Oslo.config supports Related options","CFGDFT",36,0,0,0,2,0,"Ceilometer","<No detail>","https://trello.com/c/5rbmYenG/74-cfgdft-ceilometer-oslo-config-supports-related-options"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Oslo.config supports Related options","CFGDFT",36,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/5rbmYenG/74-cfgdft-ceilometer-oslo-config-supports-related-options"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Oslo.config supports Advanced options","CFGDFT",36,0,0,0,2,0,"Ceilometer","<No detail>","https://trello.com/c/z4KT4D7p/75-cfgdft-ceilometer-oslo-config-supports-advanced-options"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Oslo.config supports Advanced options","CFGDFT",36,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/z4KT4D7p/75-cfgdft-ceilometer-oslo-config-supports-advanced-options"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Categorized Configuration Story","CFGDFT",36,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/bHv7sauL/76-cfgdft-ceilometer-categorized-configuration-story"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Categorized Configuration Story","CFGDFT",36,0,0,0,2,0,"Ceilometer","<No detail>","https://trello.com/c/bHv7sauL/76-cfgdft-ceilometer-categorized-configuration-story"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Categorized Configurations Spec","CFGDFT",36,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/il3JsYEO/77-cfgdft-ceilometer-categorized-configurations-spec"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","CFGDFT [Ceilometer] -- Categorized Configurations Spec","CFGDFT",36,0,0,0,2,0,"Ceilometer","<No detail>","https://trello.com/c/il3JsYEO/77-cfgdft-ceilometer-categorized-configurations-spec"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","GNOBEN [Ceilometer] -- Ansible deployment role, general playbook into OSA","opportunistic",9,1,2,1,4,1,"Opportunistic","<No detail>","https://trello.com/c/oe5Ewrm3/43-gnoben-ceilometer-ansible-deployment-role-general-playbook-into-osa"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","GNOBEN [Ceilometer] -- Ansible deployment role, general playbook into OSA","opportunistic",9,1,2,1,4,1,"Ceilometer","<No detail>","https://trello.com/c/oe5Ewrm3/43-gnoben-ceilometer-ansible-deployment-role-general-playbook-into-osa"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","GNOBEN [Ceilometer] -- Ansible deployment role, general playbook into OSA","opportunistic",9,1,2,1,4,1,"Medium Priority","<No detail>","https://trello.com/c/oe5Ewrm3/43-gnoben-ceilometer-ansible-deployment-role-general-playbook-into-osa"
"OSIC - Ceilometer/Horizon/FleetMgt","Review","GNOBEN [Ceilometer] -- Ansible deployment role, general playbook into OSA","opportunistic",9,1,2,1,4,1,"newton-2","<No detail>","https://trello.com/c/oe5Ewrm3/43-gnoben-ceilometer-ansible-deployment-role-general-playbook-into-osa"
